City,Lat,Lon,Temp,Humidity,Cloudiness,Windspeed
Brae,60.4,-1.35,41.0,100,69,1.63
Lieksa,63.32,30.02,38.73,73,0,18.12
Adamantas,36.73,24.43,62.6,67,20,17.22
Tambopata,-12.73,-69.18,81.21,48,12,1.41
Lubango,-14.92,13.49,63.9,32,100,2.71
Mataura,-46.19,168.86,54.0,51,0,10.0
Ketchikan,55.34,-131.65,37.72,80,1,18.34
Punta Arenas,-53.15,-70.92,53.29,66,40,27.51
Bathsheba,13.22,-59.52,80.6,83,20,19.46
Fuldabrück,51.27,9.48,38.59,100,0,2.24
Talnakh,69.49,88.4,19.4,85,75,20.13
Magadan,59.57,150.8,12.47,87,49,15.12
Mitsamiouli,-11.38,43.28,80.04,73,16,11.61
Talavera,15.62,120.93,82.72,77,98,11.72
Guerrero Negro,27.98,-114.06,64.58,69,0,17.4
Butaritari,3.07,172.79,81.28,72,11,10.22
Bilibino,68.05,166.44,2.79,91,100,1.7
Lompoc,34.64,-120.46,54.91,71,75,9.17
Esperance,-33.87,121.9,64.4,77,3,4.7
Port Elizabeth,-33.92,25.57,60.8,87,0,6.93
Sørland,67.67,12.69,40.86,69,100,16.22
Kiama,-34.68,150.87,63.81,48,75,9.17
Ahipara,-35.17,173.17,65.8,62,0,13.78
Wairoa,-39.03,177.37,78.01,50,0,8.01
Kapaa,22.08,-159.32,78.53,83,90,8.05
Erenhot,43.65,111.98,29.39,77,0,5.79
Ilulissat,69.22,-51.1,14.0,51,12,1.12
Sisimiut,66.94,-53.67,14.32,84,51,11.14
Kimamba,-6.78,37.13,74.01,80,99,5.48
Nikolskoye,59.7,30.79,46.15,87,75,8.95
Alofi,-19.06,-169.92,80.6,69,26,12.75
Äänekoski,62.69,25.82,34.93,74,0,6.93
Longyearbyen,78.22,15.64,30.2,80,75,4.7
Albany,42.6,-73.97,54.88,57,25,4.16
West Bay,19.37,-81.42,80.01,82,100,5.99
Saint Paul Harbor,57.79,-152.41,44.6,87,90,18.34
Zunyi,27.69,106.91,58.44,71,77,2.59
Hong Kong,22.29,114.16,74.08,58,98,3.0
Kalmunai,7.42,81.82,78.64,83,40,5.64
Cherskiy,68.75,161.3,5.4,94,99,6.82
Kloulklubed,7.04,134.26,82.4,78,90,11.41
Tuktoyaktuk,69.45,-133.04,26.6,79,40,19.46
Arrondissement de Saint-Denis,48.92,2.33,53.37,87,0,4.7
Qaanaaq,77.48,-69.36,-12.6,70,0,10.47
Dikson,73.51,80.55,-2.52,89,100,13.76
Tessalit,20.2,1.01,71.56,23,48,10.83
Khatanga,71.97,102.5,-4.45,86,0,12.44
Garelochhead,56.08,-4.83,41.0,93,90,5.82
Bethel,41.37,-73.41,54.68,76,1,3.36
Klaksvík,62.23,-6.59,42.8,75,61,6.93
San Jerónimo,-11.95,-75.28,53.22,66,88,4.12
Santo Tomas,14.11,121.14,81.16,83,75,9.17
Ambanja,-13.68,48.45,75.97,80,97,3.29
Pevek,69.7,170.31,15.04,96,98,2.55
Leningradskiy,69.38,178.42,18.81,95,100,9.04
Shenjiamen,29.96,122.3,65.7,69,0,14.9
Vardø,70.37,31.11,40.14,72,45,31.7
Abhā,18.22,42.51,57.2,62,0,0.85
Biltine,14.53,20.92,72.03,27,0,6.8
Jumla,29.27,82.18,40.51,50,0,4.18
Pimentel,-6.84,-79.93,64.4,77,0,13.87
Hasaki,35.73,140.83,63.84,88,75,4.7
San Patricio,28.02,-97.52,72.77,83,20,13.87
Mehamn,71.04,27.85,38.57,75,89,29.57
Palmer,42.16,-72.33,53.85,58,40,3.36
Bredasdorp,-34.53,20.04,59.0,82,12,13.87
Salalah,17.02,54.09,73.4,56,0,3.36
Nadym,65.53,72.52,32.14,99,100,4.74
Namatanai,-3.67,152.43,84.69,67,39,2.86
Kununurra,-15.77,128.73,87.8,58,40,5.82
Bluff,-46.6,168.33,54.0,51,33,10.0
Winslow,35.02,-110.7,60.8,38,20,26.4
Andenes,69.31,16.12,35.37,80,100,21.92
San Andrés,12.58,-81.7,80.6,88,40,2.24
Evensk,61.95,159.23,13.77,90,81,10.09
Kruisfontein,-34.0,24.73,55.99,92,0,1.3
Barrow,71.29,-156.79,30.2,86,90,20.8
Lavrentiya,65.58,-171.0,29.35,95,30,5.91
Laas,46.62,10.7,40.23,86,5,2.01
Pathein,16.78,94.73,76.06,88,0,9.53
Jalu,29.03,21.55,60.71,83,0,10.16
Sinazongwe,-17.26,27.46,82.87,41,0,1.68
East London,-33.02,27.91,69.91,81,0,17.45
Ixtapa,20.7,-105.2,82.4,69,75,10.29
Pamyat' Parizhskoy Kommuny,56.1,44.5,40.08,86,20,8.95
Puerto Madryn,-42.77,-65.04,58.12,69,100,25.41
Torbay,47.67,-52.73,36.84,80,20,16.11
Dunmore East,52.15,-6.99,54.55,94,100,5.99
Erzurum Province,40.0,41.5,30.2,86,0,4.7
Manokwari,-0.87,134.08,84.38,71,100,5.39
Davila,18.47,120.58,75.2,94,90,6.93
Abrau-Dyurso,44.69,37.59,49.1,81,95,6.71
Maniitsoq,65.42,-52.9,20.91,85,100,10.04
Şereflikoçhisar,38.94,33.54,44.71,69,0,14.85
Yulara,-25.24,130.99,82.4,10,91,14.99
Līsakovsk,52.54,62.49,37.54,94,100,15.08
Nantucket,41.28,-70.1,57.11,82,1,10.29
Grindavik,63.84,-22.43,39.2,65,40,19.46
Soyo,-6.13,12.37,77.36,86,96,4.29
New Norfolk,-42.78,147.06,62.01,47,20,5.82
Kamaishi,39.27,141.88,53.6,87,75,12.75
Gizo Government Station,-8.1,156.84,84.92,68,78,2.04
Touros,-5.2,-35.46,80.6,78,40,12.75
Mae Sai,20.43,99.88,70.86,94,0,3.36
Wilmington,34.23,-77.94,68.14,88,1,6.93
San Cristobal,7.77,-72.22,67.59,92,94,1.1
Pisco,-13.7,-76.22,63.77,77,20,10.29
Nanchong,30.8,106.08,63.54,66,0,2.71
Arraial do Cabo,-22.97,-42.03,72.46,77,100,8.55
Cidreira,-30.18,-50.21,67.84,85,18,15.79
Tiksi,71.69,128.87,-6.56,92,71,2.28
Launceston,-41.45,147.17,62.78,48,40,11.41
Ancud,-41.87,-73.82,51.24,62,5,12.75
Port Shepstone,-30.74,30.45,69.6,84,9,2.48
Kungurtug,50.6,97.52,20.89,93,32,1.88
Acapulco de Juárez,16.86,-99.89,84.2,74,20,9.17
Arman',59.7,150.17,11.23,86,100,16.49
Ambon City,-3.7,128.18,83.19,67,100,10.76
Coyhaique,-45.58,-72.07,57.2,50,0,3.36
Miraflores,19.22,-98.81,74.86,28,20,8.05
Adrar,20.5,-10.07,82.18,20,0,8.43
Cornwall,45.02,-74.73,61.36,55,1,12.75
Umm Kaddadah,13.6,26.69,71.35,29,52,12.39
Vila Franca do Campo,37.72,-25.43,57.2,76,20,5.82
Sibu,2.3,111.82,78.31,83,40,6.93
Port Moresby,-9.44,147.18,87.8,70,40,3.36
Saint-Augustin,51.23,-58.65,31.6,90,94,14.61
Al Bardīyah,31.76,25.09,67.75,78,25,19.48
Salisbury,51.07,-1.8,49.75,93,100,6.93
Vallenar,-28.57,-70.76,61.05,63,100,6.53
Mackay,-21.15,149.2,76.59,73,75,19.46
Kilindoni,-7.91,39.67,80.13,82,50,12.75
Bagan,54.1,77.66,39.49,69,100,14.03
Saint George,37.1,-113.58,52.34,22,75,27.51
Quatre Cocos,-20.21,57.76,72.14,83,75,10.29
Greytown,-29.06,30.59,66.7,47,1,3.15
Clyde River,70.47,-68.59,-0.4,64,1,9.17
Kaeo,-35.1,173.78,75.0,60,1,10.0
Tornio,65.85,24.15,33.8,69,0,9.17
Saskylakh,71.92,114.08,-8.99,89,7,8.08
Massakory,13.0,15.73,75.09,31,11,11.9
Saint-Louis,16.33,-15.0,87.8,43,0,2.24
Marzuq,14.4,46.47,62.01,60,1,2.8
George Town,5.41,100.34,77.63,94,20,4.03
Vaitape,-16.52,-151.75,80.24,74,100,11.5
Mugur-Aksy,50.35,90.5,22.78,87,2,5.57
La Rioja,-29.41,-66.85,78.67,29,34,8.41
Walvis Bay,-22.96,14.51,57.51,93,10,5.82
Laguna,38.42,-121.42,59.86,40,1,8.05
Yangi Marg`ilon,40.43,71.72,44.6,28,0,6.93
Selikhino,50.37,137.5,24.85,87,100,7.67
Broken Hill,-31.95,141.43,71.6,26,0,12.75
Port Lincoln,-34.73,135.87,65.71,58,75,17.67
Berezovyy,51.67,135.7,22.12,80,81,3.6
Berlevåg,70.86,29.09,39.25,74,94,32.68
Broome,42.25,-75.83,55.69,42,1,5.82
Vanavara,60.34,102.28,18.28,97,100,4.9
Homer,59.64,-151.55,38.17,93,90,6.85
Rawson,-43.3,-65.1,61.48,62,97,21.05
Guozhen,34.37,107.36,57.15,35,100,0.51
Surgut,61.25,73.42,32.0,97,75,8.95
Verkhnyaya Inta,65.98,60.31,29.1,98,100,9.82
Moose Factory,51.26,-80.61,31.08,86,1,10.29
Bairiki Village,1.33,172.98,86.0,66,40,5.82
Virginia Beach,36.85,-75.98,60.96,87,90,3.36
Puerto del Rosario,28.5,-13.86,66.2,72,0,5.82
Río Gallegos,-51.62,-69.22,64.4,34,40,23.04
Aksu,41.12,80.26,34.56,72,0,1.45
Avallon,47.48,3.9,60.01,72,100,1.99
Urusha,54.05,122.9,10.2,81,100,7.74
Saint-Philippe,-21.36,55.77,63.1,78,75,3.36
Kirakira,-10.45,161.92,83.82,77,35,7.87
Río Cuarto,-33.13,-64.35,71.85,46,0,13.87
Bassano,50.78,-112.47,29.01,96,100,20.8
Polunochnoye,60.87,60.42,28.56,94,0,7.29
Dwārka,22.24,68.97,79.11,47,0,10.92
Araci,-11.33,-38.97,72.93,91,15,7.74
Tautira,-17.73,-149.15,84.09,66,75,11.41
Romny,50.75,33.47,42.06,96,5,8.46
Carutapera,-1.2,-46.02,79.86,81,95,8.14
Ossora,59.24,163.07,29.39,84,1,3.69
Atambua,-9.11,124.89,88.27,38,11,1.79
Kokkola,63.84,23.13,40.05,64,0,8.05
Zyryanka,65.75,150.85,-1.62,92,100,7.7
São Filipe,14.9,-24.5,79.29,76,90,8.68
Samarinda,-0.5,117.15,81.79,82,100,2.59
Kenora,49.82,-94.43,33.8,92,90,13.87
Flin Flon,54.77,-101.86,17.6,85,90,10.29
Hamilton,39.18,-84.53,56.91,71,1,2.73
Banyo,6.75,11.82,65.82,64,96,3.15
Paamiut,61.99,-49.67,27.36,89,100,25.79
Bridlington,54.08,-0.19,44.69,100,90,1.12
Hirara,24.8,125.28,78.8,94,40,9.17
Ribeira Grande,38.52,-28.7,61.45,72,8,13.33
Puerto Vallarta,20.62,-105.23,82.4,69,75,10.29
Kutum,14.2,24.67,62.85,36,1,6.35
Matagami,49.75,-77.63,32.0,94,75,6.93
Log,49.48,43.86,38.73,90,0,11.3
Hobyo,5.35,48.53,79.03,80,49,10.09
Suntar,62.14,117.63,-5.42,90,0,3.56
Marabu,4.41,114.01,80.31,94,40,2.24
Stephenville,32.22,-98.2,64.81,59,1,8.59
Sitka,57.05,-135.33,39.2,69,1,2.08
Nizhniy Kuranakh,58.84,125.49,1.63,90,100,7.27
Guatire,10.48,-66.54,75.61,89,97,1.45
Mount Gambier,-37.83,140.77,60.8,51,0,9.17
Bambous Virieux,-20.34,57.76,72.27,83,75,10.29
Chingirlau,51.09,54.08,33.57,93,21,12.64
Dolores,-36.31,-57.68,57.45,92,0,6.62
Anchorage,61.22,-149.9,22.98,79,90,5.82
Mogadishu,2.04,45.34,79.0,81,99,5.14
Belmonte,-15.86,-38.88,77.0,88,75,9.17
Shingū,33.73,135.98,64.4,59,40,13.87
Swabi,34.12,72.47,58.5,30,0,4.32
Nanortalik,60.14,-45.24,29.75,95,100,9.22
Zuwārah,32.93,12.08,67.84,70,32,4.03
Tabuk,17.42,121.44,78.46,86,100,3.94
Sokolo,14.73,-6.12,77.85,16,0,10.56
Mandalgovi,45.76,106.27,27.99,70,0,8.23
Cadillac,44.25,-85.4,59.0,58,1,10.29
Berdigestyakh,62.1,126.7,-3.73,89,100,6.78
Almansa,38.87,-1.1,54.21,71,0,4.38
Airai,-8.93,125.41,78.69,36,14,4.52
Dromolaxia,34.88,33.59,68.45,56,20,13.87
Egvekinot,66.32,-179.17,21.85,98,100,5.59
Avera,33.19,-82.53,69.55,78,75,5.82
Khovd,48.01,91.64,26.28,90,0,0.11
Meulaboh,4.14,96.13,78.98,79,68,2.98
Hofn,64.25,-15.21,44.35,87,100,21.65
Örnsköldsvik,63.29,18.72,35.6,80,0,12.75
Cam Ranh,11.92,109.16,82.4,65,40,13.87
Ust-Nera,64.57,143.2,-7.4,82,26,5.41
Dawson Creek,55.77,-120.24,14.0,78,1,3.36
Prainha,-1.8,-53.48,79.84,74,99,4.18
Timmins,48.47,-81.33,39.2,100,90,4.7
Ambulu,-8.35,113.61,82.54,69,11,0.18
Dawei,14.08,98.2,78.39,75,98,8.3
Horsham,51.06,-0.33,49.23,100,90,4.7
Marawi,8.0,124.29,81.0,76,28,5.99
Tefé,-3.35,-64.71,74.82,96,100,4.14
Margate,51.38,1.39,52.12,91,14,1.99
Hauterive,46.09,3.45,58.78,67,90,11.41
Havre-St-Pierre,50.23,-63.6,26.6,68,1,4.7
Aksarka,66.56,67.8,28.26,99,100,4.94
Xudat,41.63,48.68,50.38,77,100,13.38
San Antonio,29.42,-98.49,70.83,60,75,3.36
Nouakchott,18.09,-15.98,80.6,54,1,14.99
Hurghada,27.26,33.81,69.8,43,0,9.17
Mosjøen,65.84,13.19,39.63,75,75,6.93
Cayenne,4.93,-52.33,78.8,94,0,4.7
Derzhavīnsk,51.1,66.32,43.0,74,100,21.77
Evans,33.53,-82.13,70.36,60,40,8.05
Phalombe,-15.81,35.65,74.64,37,0,2.59
Iqaluit,63.75,-68.51,6.8,77,75,4.7
Provideniya,64.38,-173.3,28.27,93,0,2.84
Bilma,18.69,12.92,67.55,40,0,14.09
Astoria,46.19,-123.83,46.69,65,1,14.99
Ostrovnoy,68.05,39.51,32.99,94,20,17.85
Codrington,-38.27,141.97,60.31,66,0,8.99
Semīrom,31.42,51.57,29.71,91,100,2.55
Goundam,16.41,-3.67,80.06,15,0,10.16
Pedernales,18.04,-71.74,79.32,70,100,5.86
Kayes,14.0,-11.0,82.4,54,0,4.7
Barra Patuca,15.8,-84.28,79.34,85,100,14.32
Nova Olímpia,-14.8,-57.29,82.58,53,100,4.29
Anloga,5.79,0.9,77.0,78,40,9.17
Muros,42.78,-9.06,61.0,90,90,14.0
Kānkon,15.02,74.02,80.6,74,40,9.17
Awjilah,29.11,21.29,60.53,85,0,9.71
Puerto Escondido,15.85,-97.07,82.4,69,20,2.59
Vila,42.03,-8.16,54.0,95,100,5.86
Erzin,36.96,36.2,61.0,53,0,15.01
Vestmannaeyjar,63.44,-20.27,44.17,68,100,17.56
Avarua,-21.21,-159.78,78.8,74,48,7.9
Severo-Kuril'sk,50.68,156.12,36.72,76,10,4.65
Ol'ga,43.74,135.29,40.8,68,100,4.25
Qaqortoq,60.72,-46.03,28.4,74,100,3.36
Andra,62.51,65.89,32.4,97,100,6.06
High Level,58.52,-117.14,17.6,72,90,3.85
Lazarev,52.23,141.51,25.29,91,96,12.35
Valparaíso,-33.04,-71.63,53.6,93,75,4.7
Nuuk,64.18,-51.72,21.2,79,100,12.75
Mastic Beach,40.77,-72.85,53.8,71,1,3.36
Champasak,14.75,106.0,73.4,78,40,2.24
Icod de los Vinos,28.37,-16.71,64.22,80,4,3.0
Okhotsk,59.38,143.3,12.04,89,56,15.88
Harper,4.38,-7.72,78.31,87,98,6.49
Houma,29.6,-90.72,69.19,88,90,11.41
Norman Wells,65.28,-126.83,28.4,100,75,3.36
Sovetskiy,61.36,63.58,29.39,98,25,4.05
Forsytheganj,52.63,29.73,46.9,92,100,10.25
Srednekolymsk,67.45,153.68,-3.39,92,84,8.61
Belyy Yar,53.6,91.39,26.6,100,20,2.24
Lagoa,39.05,-27.98,61.27,74,75,16.02
Opuwo,-18.06,13.84,66.09,29,98,5.32
Tubualá,9.52,-79.03,71.04,78,40,4.7
Faanui,-16.48,-151.75,79.38,75,100,11.48
Shatrovo,56.52,64.63,33.73,96,100,4.56
Cabo San Lucas,22.89,-109.91,79.68,74,5,8.05
Asahikawa,43.77,142.37,46.4,52,40,12.75
Upernavik,72.79,-56.15,1.58,78,83,7.99
Amapá,1.0,-52.0,75.04,88,99,3.91
Krasnomayskiy,57.62,34.41,47.5,86,100,10.87
Sechura,-5.56,-80.82,65.16,76,0,13.8
Mount Isa,-20.73,139.5,91.4,9,40,10.29
Shelburne,44.08,-80.2,54.45,71,1,4.7
Mezhdurechensk,53.69,88.06,34.77,88,47,3.62
Chiriquí Grande,8.95,-82.12,64.0,100,34,2.86
Pangnirtung,66.15,-65.71,4.1,85,82,3.49
Kem',64.96,34.58,36.32,79,0,20.62
Neuquén,-38.95,-68.06,82.4,32,75,11.41
Beringovskiy,63.05,179.32,28.71,94,100,11.45
Vao,-22.67,167.48,73.85,71,22,12.48
Xining,36.62,101.77,34.14,75,70,2.42
Koson,39.04,65.58,53.6,30,0,2.24
Mozarlândia,-14.74,-50.57,79.16,70,100,5.23
Biak,-0.91,122.88,83.1,62,100,8.08
Cape Coast,5.11,-1.25,78.85,85,100,10.22
Kāvali,14.92,79.98,78.1,82,12,6.87
Yaan,7.38,8.57,74.62,68,53,4.25
Esso,55.93,158.7,18.01,89,10,1.63
Ginda,30.69,78.49,47.26,38,0,5.3
Visnes,59.36,5.22,44.6,100,100,6.93
Cairns,-16.92,145.77,89.94,52,9,8.05
Province of Mantua,45.17,10.78,47.37,98,0,5.01
Ubari,26.59,12.78,55.31,61,0,5.26
Lucapa,-8.42,20.74,65.03,99,100,2.28
Bani Walid,31.76,13.99,60.15,78,0,6.6
Itoman,26.12,127.67,79.27,83,75,6.93
La Ronge,55.1,-105.28,21.2,79,100,11.41
Itarema,-2.92,-39.92,79.45,76,64,14.81
Kavaratti,10.57,72.64,82.92,73,2,7.29
Topeka,39.05,-95.68,65.07,59,1,12.75
Beian,63.66,9.57,41.65,87,75,11.41
Los Llanos de Aridane,28.66,-17.92,66.2,63,0,9.17
Nakuru,-0.28,36.07,57.65,82,4,1.19
Bella Union,-30.28,-57.6,67.33,80,0,11.27
Portland,45.52,-122.68,42.84,75,75,17.22
Cumana,10.46,-64.18,82.4,83,3,16.11
Natitingou,10.3,1.38,73.4,64,0,6.93
Zaragoza,41.66,-0.88,55.85,76,0,4.7
Clarence Town,-32.58,151.78,68.11,45,90,10.29
South Venice,27.05,-82.42,74.77,83,40,19.46
Muroto-misakicho,33.28,134.15,68.0,64,75,11.41
Bandarbeyla,9.49,50.81,74.19,86,39,11.32
Cabinda,-5.55,12.2,77.36,85,100,4.41
Najrān,17.49,44.13,64.4,37,0,4.7
Tuatapere,-46.13,167.68,54.0,51,3,10.0
Pontes e Lacerda,-15.23,-59.34,78.46,66,95,2.82
Sabang,5.89,95.32,80.4,75,82,3.31
Guru Har Sahāi,30.72,74.42,59.09,32,0,2.91
Cho Dok,10.7,105.12,79.61,83,97,4.09
Rincon,32.3,-81.24,68.49,88,20,6.93
Ciudad Río Bravo,25.98,-98.1,78.19,54,20,9.17
Alekseyevka,50.63,38.69,41.34,89,0,10.85
Taoudenni,22.68,-3.98,80.11,16,43,10.45
Nome,64.5,-165.41,35.85,93,75,9.17
Vinh,18.67,105.67,73.96,74,14,10.85
Shakhovskaya,56.03,35.51,46.4,88,100,15.73
Dukat,62.55,155.55,-4.36,90,100,4.34
Paciran,-6.88,112.38,83.55,71,36,5.35
Senno,59.53,33.92,45.9,87,100,11.56
Gigmoto,13.78,124.39,83.32,70,100,5.59
Buraidah,26.33,43.98,66.2,93,20,6.93
Tomatlán,19.93,-105.25,74.55,87,100,2.3
Mae Hong Son,19.3,97.97,71.6,94,75,1.5
Nemuro,43.32,145.57,50.0,87,20,4.7
Puerto Baquerizo Moreno,-0.9,-89.6,66.51,80,0,12.41
Limbang,4.75,115.0,78.4,88,75,5.82
Illapel,-31.63,-71.17,57.13,74,0,1.34
Petra,30.32,35.48,51.89,86,97,0.54
Raja,8.46,25.68,71.83,42,0,1.3
Praia,14.92,-23.51,77.0,83,0,14.99
Skellefteå,64.75,20.95,33.3,74,0,10.29
Casper,42.87,-106.31,60.42,36,1,18.34
Ngunguru,-35.62,174.5,75.0,60,88,10.0
Yar-Sale,66.83,70.83,25.03,99,89,1.63
Kiunga,-6.12,141.29,87.26,57,100,2.77
Jizan,17.33,42.67,82.4,65,0,0.92
Baculin,7.45,126.58,81.23,78,99,2.04
Richards Bay,-28.78,32.04,72.95,88,0,6.15
Kailua,21.4,-157.74,80.87,69,90,13.87
Fort Nelson,58.81,-122.7,15.8,85,20,2.24
Samarai,-10.62,150.67,82.35,78,78,9.91
Sarangani,5.4,125.46,83.23,75,68,7.83
Kimaya,8.56,124.84,81.0,76,76,5.99
San Miguel,13.48,-88.18,74.12,93,100,1.25
Henties Bay,-22.12,14.28,60.01,92,84,1.99
Hamina,60.57,27.2,43.34,81,20,9.17
Tigre,-34.43,-58.58,68.97,68,0,10.29
Paka,4.64,103.44,77.0,94,40,3.36
Sri Aman,1.24,111.46,77.0,94,40,4.7
Paternò,37.57,14.9,52.77,93,0,6.93
Kudowa-Zdrój,50.44,16.24,41.67,77,0,5.95
Lovozero,68.0,35.01,33.13,91,92,23.64
Gwanda,-20.93,29.0,78.49,39,0,7.47
Bonavista,48.65,-53.11,33.3,79,100,5.82
Fairbanks,64.84,-147.72,23.04,85,75,4.7
Beloha,-25.17,45.05,69.28,82,0,3.13
Otradnoye,59.78,30.82,46.08,91,100,3.0
Rome,43.21,-75.46,52.72,76,1,1.9
Trogir,43.51,16.25,51.8,76,0,3.36
Viedma,-40.81,-63.0,57.0,77,100,17.56
Vostok,46.49,135.88,28.76,94,88,0.78
Tyret’ Pervaya,53.67,102.31,31.82,95,98,6.73
Banda Aceh,5.56,95.32,79.75,76,76,2.75
Hervey Bay,-25.3,152.85,77.0,47,75,16.11
Port Hardy,50.7,-127.42,45.3,56,20,16.11
Quelimane,-17.88,36.89,75.42,77,0,6.58
Flinders,-34.58,150.86,63.64,48,75,9.17
Naze,28.37,129.48,74.28,83,75,12.75
Sfântu Gheorghe,45.87,25.78,36.0,90,0,1.81
Dunda,-8.12,34.25,65.19,68,0,0.89
Atbasar,51.8,68.33,43.75,86,100,18.1
Cutro,39.04,16.98,50.0,93,0,5.82
Coos Bay,43.37,-124.22,48.74,81,90,13.87
Pozo Colorado,-23.49,-58.8,81.52,28,0,6.85
Port Blair,11.67,92.75,82.58,78,2,9.51
Ambilobe,-13.2,49.05,72.61,80,100,3.56
El Retorno,2.33,-72.63,74.48,93,94,1.19
Tarko-Sale,64.92,77.78,32.0,94,100,6.78
Dargaville,-35.93,173.88,68.23,55,0,12.64
Boddam,57.47,-1.78,42.6,100,90,1.12
Ajuchitlán,20.72,-100.02,73.4,51,5,4.7
Denison,33.76,-96.54,66.99,49,5,5.82
Chāndbāli,20.78,86.77,65.98,65,0,5.28
Giohar,2.78,45.5,74.66,92,100,8.43
Lokosovo,61.13,74.82,34.29,97,100,9.17
Kalmar,56.66,16.36,46.71,93,0,8.05
Wencheng,33.06,113.8,55.31,38,0,9.75
Romans-sur-Isère,45.05,5.06,55.13,76,90,8.05
Kieta,-6.22,155.63,85.23,66,100,3.83
Dakoro,14.51,6.76,74.21,20,0,10.38
Amuntai,-2.42,115.25,81.12,86,100,1.9
Gushikawa,26.35,127.87,79.0,94,1,6.93
Dickinson,29.46,-95.05,69.01,77,20,8.05
Kedrovyy,56.17,91.82,44.6,65,0,11.18
Banikoara,11.3,2.44,73.06,22,8,4.83
Yanta,36.24,115.67,51.26,39,0,9.6
Bintulu,3.17,113.03,80.29,88,20,4.7
Arua,3.02,30.91,62.29,93,98,0.98
Vestmanna,62.16,-7.17,41.0,80,66,2.24
Eyl,7.98,49.82,77.54,77,42,11.32
Carauari,-4.88,-66.9,77.11,85,84,2.33
Tarija,-21.54,-64.73,61.41,72,100,4.0
Laurel,39.1,-76.85,57.27,81,1,1.54
São João da Barra,-21.64,-41.05,73.89,86,99,7.34
Trairi,-3.28,-39.27,79.72,74,24,11.43
Emba,48.83,58.14,38.05,77,100,18.03
Chimbote,-9.09,-78.58,62.28,82,75,8.03
